sentence	start	end	text_name	words	chars
Isä on pieksäessään isä.	165824	165848	lehtonen1910a	3	24
Isäkin lähti töistä.	236286	236306	lehtonen1910a	2	20
Isällä oli suuri musta parta.	42680	42709	pakkala1895a	4	29
Isäntä antaa heidän asua niinkuin entistenkin.	290227	290273	lehtonen1910a	5	46
Isäntäni kädet vapisevat yhä tuntuvammin.	130282	130323	jarnefelt1913a	4	41
Isäntäni kädet vapisevat.	130482	130507	jarnefelt1913a	2	25
Isäsi, kuten tiedät, jakoi omaisuutensa köyhille.	144792	144841	jarnefelt1913a	5	49
Iso kotapata, se, jonka Mauno tietää.	309962	309999	lehtonen1910a	5	37
Iso Sanelma riisuutuu nopeasti.	724462	724493	lehtonen1910a	3	31
Iso Sanelma vastaa hänelle saunan ovelta.	570151	570192	lehtonen1910a	5	41
Isompia ja pienempiä sikin sokin.	21274	21307	lehtonen1910a	4	33
Isot siat niistä olivat kuin lankunkappaleita.	336248	336294	lehtonen1910a	5	46
Isot varpaat rupesivat painimaan.	124941	124974	pakkala1895a	3	33
Istahti kynnykselle, ja alkoi haukotella.	570737	570778	lehtonen1910a	4	41
Istui siinä monta viikkoa.	627234	627260	lehtonen1910a	3	26
Istui tarinoimassa.	52059	52078	lehtonen1910a	1	19
Istuiksen kivelle.	502011	502029	lehtonen1910a	1	18
Istuu aidan juuressa.	381475	381496	lehtonen1910a	2	21
Istuu siellä kuin ryökkinä sohvalla, kekottaa.	629324	629370	lehtonen1910a	5	46
Itikat eivät antaneet heille rauhaa.	148962	148998	canth1886a	4	36
Itikatkin pistelevät siellä niinkuin menneenä kesänä.	608450	608503	lehtonen1910a	5	53
Itkeä nyhertäen lähti Mikko kävelemään.	67456	67495	pakkala1895a	4	39
Itkin kohtaloani, luulin kuolevani.	41660	41695	jarnefelt1913a	3	35
Itkua ja valitusta kuului tyttöjoukossa.	67958	67998	pakkala1895a	4	40
Itkumielin katseli hän kämmenelleen.	33306	33342	pakkala1895a	3	36
Itse hän on mennyt niin lähelle.	274222	274254	lehtonen1910a	5	32
Itse keittopaikka on tämän onkalon takana.	799232	799274	lehtonen1910a	5	42
Itse tahdon vankeutta, lepoa, unta tahdon.	110482	110524	jarnefelt1913a	5	42
Itsekseen: Tshort jih paimjot.	105916	105946	jarnefelt1913a	3	30
Itsensä sietäisi Topin saada selkäsauna.	123544	123584	lehtonen1910a	4	40
Itsensä täytyy Muttisen solmia se siihen.	600532	600573	lehtonen1910a	5	41
Itsepä sen kerroit.	491913	491932	lehtonen1910a	2	19
Ja Aapelihan tahtoisi köllötellä niin mukavasti.	649445	649493	lehtonen1910a	5	48
Ja Aappo tiesi olevansa helisemässä.	69115	69151	pakkala1895a	4	36
Ja aidanseipään rusahdus.	76464	76489	lehtonen1910a	2	25
Ja aikoo antaa niitä muillekin pennuille.	130572	130613	lehtonen1910a	5	41
Ja akkansa.	503970	503981	lehtonen1910a	1	11
Ja akoilla.	380542	380553	lehtonen1910a	1	11
Ja alakerrassa pylväskuisti.	10489	10517	lehtonen1910a	2	28
Ja alkavat ne jo pilkata Juutastakin.	65367	65404	lehtonen1910a	5	37
Ja alkoivat lähteä saunalle.	706753	706781	lehtonen1910a	3	28
Ja Ananiaskin uskoo vähän.	221928	221954	lehtonen1910a	3	26
Ja antaa tällaisen tilan olla isännättä.	336688	336728	lehtonen1910a	5	40
Ja antaako tämä Aapeli?	783902	783925	lehtonen1910a	3	23
Ja edessä puna- ja siniruudullinen esiliina.	155573	155617	lehtonen1910a	5	44
Ja eihän se Juutas tosissaan.	599475	599504	lehtonen1910a	4	29
Ja eihän sika heinillä elä.	337442	337469	lehtonen1910a	4	27
Ja eikös Ester saanutkaan mitään?	435643	435676	lehtonen1910a	4	33
Ja eipä tuo näyttänyt paljoa muuttuneen.	118201	118241	lassila1910a	5	40
Ja entäs lehmät?	57993	58009	lassila1910a	2	16
Ja entinen loppui.	603361	603379	lehtonen1910a	2	18
Ja ero siitä tuli.	249311	249329	lehtonen1910a	3	18
Ja että laiva huutaa.	155190	155211	lehtonen1910a	3	21
Ja että siellä on Muttinen.	535534	535561	lehtonen1910a	4	27
Ja ettekö te kuule?	645344	645363	lehtonen1910a	3	19
Ja eukon sukulaiset.	778534	778554	lehtonen1910a	2	20
Ja haiset aina.	453896	453911	lehtonen1910a	2	15
Ja hän heitti moittivan katseen Johniin.	121038	121078	canth1886a	5	40
Ja hän kantaa tosiaan.	381275	381297	lehtonen1910a	3	22
Ja hän laskee työaseen kädestään.	780966	780999	lehtonen1910a	4	33
Ja hän lauloi ja tanssi.	70508	70532	lehtonen1910a	4	24
Ja hän miettii asiaa.	719115	719136	lehtonen1910a	3	21
Ja hän otti.	95127	95139	lehtonen1910a	2	12
Ja hän punoittaa muustakin kuin helteestä.	397774	397816	lehtonen1910a	5	42
Ja hän saakin.	219820	219834	lehtonen1910a	2	14
Ja hän tulee kodan penkille levähtämään.	721006	721046	lehtonen1910a	5	40
Ja hän tulistuu vastarintaan.	478108	478137	lehtonen1910a	3	29
Ja hän voi joutua vieläkin pitemmälle.	28356	28394	jarnefelt1916a	5	38
Ja hänen akalleen, naarastiikerinä karjuvalle.	768823	768869	lehtonen1910a	4	46
Ja hänen akkansa.	493281	493298	lehtonen1910a	2	17
Ja hänen ruokahalunsa on kasvanut.	532532	532566	lehtonen1910a	4	34
Ja hänestä ne olivatkin aivan oikeat.	22619	22656	pakkala1895a	5	37
Ja häntä aivan kuin halutti tuohon.	120316	120351	pakkala1895a	5	35
Ja hätäkös on hänellä.	291232	291254	lehtonen1910a	3	22
Ja hävytön pitää ollakin.	281704	281729	lehtonen1910a	3	25
Ja he erotettiin koulusta.	63131	63157	jarnefelt1913a	3	26
Ja he juttelevat.	475744	475761	lehtonen1910a	2	17
Ja he lähtivät kaupungille kävelemään.	22991	23029	pakkala1895a	4	38
Ja he menevät.	614277	614291	lehtonen1910a	2	14
Ja helpommalla riuhtaisisi.	184948	184975	lehtonen1910a	2	27
Ja hevosen kaviot kolisevat aisoihin.	521732	521769	lehtonen1910a	4	37
Ja hevosia, ja sikojakin.	506863	506888	lehtonen1910a	3	25
Ja hiivaa.	310232	310242	lehtonen1910a	1	10
Ja hiottaa niin.	390380	390396	lehtonen1910a	2	16
Ja hyppi ilosta vielä aivan tyttömäisesti.	55489	55531	jarnefelt1916a	5	42
Ja hyvä on toukoviljakin.	476221	476246	lehtonen1910a	3	25
Ja hyväthän täällä Putkinotkossa ovat maat.	476429	476472	lehtonen1910a	5	43
Ja ilmaisia renkejä, ne pojat.	94269	94299	lehtonen1910a	4	30
Ja ilomme olisi taaskin yhteinen.	208216	208249	jarnefelt1916a	4	33
Ja iltasilla niitä entisiä.	220987	221014	canth1886a	3	27
Ja inttää jälleen tulevansa.	257359	257387	lehtonen1910a	3	28
Ja isä istuikin jo syömässä.	78578	78606	pakkala1895a	4	28
Ja isä myy viinaa.	236308	236326	lehtonen1910a	3	18
Ja itseään ylisti.	8990	9008	pakkala1895a	2	18
Ja itsekin keksinyt uusia.	113715	113741	lehtonen1910a	3	26
Ja itsepäinen se on kuin synti.	47272	47303	lehtonen1910a	5	31
Ja jalopeuroja siellä oli ollut.	455997	456029	lehtonen1910a	4	32
Ja järven selkä sohisee yhä aamu-unisesti.	18187	18229	lehtonen1910a	5	42
Ja Jöije alkoi kertoa.	59942	59964	jarnefelt1916a	3	22
Ja joka kerta enemmän.	89537	89559	pakkala1895a	3	22
Ja Jopi katselee Muttiseen kummallisesti.	665693	665734	lehtonen1910a	4	41
Ja Jopi, että hän on limppuhiiri.	495321	495354	lehtonen1910a	5	33
Ja joskus kalahtaa kello alakuloisesti.	731891	731930	lehtonen1910a	4	39
Ja joskus maistuvat mällit vaihteeksi mukavilta.	157453	157501	lehtonen1910a	5	48
Ja Jumalan kesä kaunis.	318761	318784	lehtonen1910a	3	23
Ja juokseminen raukaisee kovasti Malakiasta.	175717	175761	lehtonen1910a	4	44
Ja Juutas alkaa jälleen soutaa.	182938	182969	lehtonen1910a	4	31
Ja Juutas alkaa soutaa.	178733	178756	lehtonen1910a	3	23
Ja Juutashan se osaakin tarinoida.	750685	750719	lehtonen1910a	4	34
Ja kädet vapisivat.	170427	170446	canth1886a	2	19
Ja kahviakin hän on siellä odottanut.	98414	98451	lehtonen1910a	5	37
Ja kaikkea ennustelee?	349876	349898	lehtonen1910a	2	22
Ja kaikki lait, esi-isien aikuiset.	691275	691310	lehtonen1910a	4	35
Ja kaikki muutkin olivat niin ystävällisiä.	103596	103639	pakkala1895a	5	43
Ja kaikki on siitä silloin pahaa.	48871	48904	lehtonen1910a	5	33
Ja kaiku huutaa.	85036	85052	lehtonen1910a	2	16
Ja kaivellut louhiakin.	636650	636673	lehtonen1910a	2	23
Ja kapuavat kalliolle.	611327	611349	lehtonen1910a	2	22
Ja Karell sen ansaitsee.	142462	142486	canth1886a	3	24
Ja karkuun he aikoivat.	794943	794966	lehtonen1910a	3	23
Ja kärsällään se töhi lastuja.	202776	202806	lehtonen1910a	4	30
Ja kas, ruiskukkia.	612687	612706	lehtonen1910a	2	19
Ja käskee laulamaan.	502342	502362	lehtonen1910a	2	20
Ja katselee ympärilleen.	781000	781024	lehtonen1910a	2	24
Ja katso, jalasta vuotaa häneltä verta.	539351	539390	lehtonen1910a	5	39
Ja kengät valkeat niinkuin liitu.	132827	132860	lehtonen1910a	4	33
Ja kiikkuneet olivat korkealla katon rajassa.	455951	455996	lehtonen1910a	5	45
Ja kiiruhtaa saunalle.	743869	743891	lehtonen1910a	2	22
Ja kipeän jalan pohjetta pakottaa.	378760	378794	lehtonen1910a	4	34
Ja koetan väkisin ummistaa silmäni.	2581	2616	jarnefelt1913a	4	35
Ja kolmannen perpentikkelille.	792618	792648	lehtonen1910a	2	30
Ja komentelisi illalla maata.	409101	409130	lehtonen1910a	3	29
Ja Könölinin jäljestä kiiruhtaa emäntäneiti.	362906	362950	lehtonen1910a	4	44
Ja konttoristi oli hymyillyt.	97208	97237	lehtonen1910a	3	29
Ja korpinrasvaa sopisi koettaa.	360597	360628	lehtonen1910a	3	31
Ja körttiröijynsä, joka kuvastaa vyötäröt hoikkina.	547712	547763	lehtonen1910a	5	51
Ja kuinka käy koko maailmalle.	51761	51791	lehtonen1910a	4	30
Ja kuinkapa ihminen rakastaisi toisen maata.	785707	785751	lehtonen1910a	5	44
Ja kuitenkin paljon enemmän kuin kihloissa.	55108	55151	jarnefelt1916a	5	43
Ja kuitenkin vaivainen petäjä elää.	2246	2281	lehtonen1910a	4	35
Ja kuljettavat tänne kaikenmoisia irtolaisia.	780283	780328	lehtonen1910a	4	45
Ja kummitus meni saunan taakse.	417957	417988	lehtonen1910a	4	31
Ja kuolleen vuoteen juuri.	113533	113559	lehtonen1910a	3	26
Ja kurkisteli navetalle.	388358	388382	lehtonen1910a	2	24
Ja Kuula on juovuksissa.	92086	92110	jarnefelt1913a	3	24
Ja kuuleepa Käkriäinen sitten muutakin.	404985	405024	lehtonen1910a	4	39
Ja kuulkaa.	42116	42127	pakkala1895a	1	11
Ja kuuluivat keskenään nauravankin.	339421	339456	lehtonen1910a	3	35
Ja kuvastuvat veteen kuin mitkäkin untuvat.	390257	390300	lehtonen1910a	5	43
Ja kyllä minä aina sanasen keksin.	795341	795375	lehtonen1910a	5	34
Ja kyllä silloin pistää suunsa metiseksi.	300491	300532	lehtonen1910a	5	41
Ja kyllä täällä rahaa tarvitaan.	42125	42157	lehtonen1910a	4	32
Ja lampaita on.	65837	65852	lehtonen1910a	2	15
Ja langon puolelta, ystävän muka.	501345	501378	lehtonen1910a	4	33
Ja lapsiaan hän siinä huutelee.	200548	200579	lehtonen1910a	4	31
Ja lapsistahan se pitääkin.	57156	57183	lehtonen1910a	3	27
Ja lataa uutta.	381459	381474	lehtonen1910a	2	15
Ja lauhkea niinkuin mesi.	659398	659423	lehtonen1910a	3	25
Ja laulaa, laulaa.	68537	68555	lehtonen1910a	2	18
Ja leipä on Putkinotkossa lopussa.	380479	380513	lehtonen1910a	4	34
Ja Leistén on ollut oikein vihainen.	191215	191251	canth1886a	5	36
Ja Lejakin rauhoittaa vanhinta veljeään.	726011	726051	lehtonen1910a	4	40
Ja Lejalla sekä Jopilla.	315663	315687	lehtonen1910a	3	24
Ja liikkumattomuus, ja äänettömyys.	116488	116523	canth1886a	3	35
Ja Liisa oli kaikista alakuloisin.	69481	69515	pakkala1895a	4	34
Ja loppuvat eväät pennuilta.	95834	95862	lehtonen1910a	3	28
Ja lotjatöillä se on velkansa maksanut.	366226	366265	lehtonen1910a	5	39
Ja louhiselle mäelle.	500734	500755	lehtonen1910a	2	21
Ja luita kolottaa, ja päähän pistelee.	687401	687439	lehtonen1910a	5	38
Ja Luukas, mitä se pikkuinen itkee?	520594	520629	lehtonen1910a	5	35
Ja lystiä koetettiin pitää minulle.	449908	449943	lehtonen1910a	4	35
Ja maha pullottaa, oikea herran maha.	548368	548405	lehtonen1910a	5	37
Ja makea on sillekin, hyväkkäälle.	548748	548782	lehtonen1910a	4	34
Ja makeaa se on, tuulaskala.	691600	691628	lehtonen1910a	4	28
Ja Malakiaksella oli.	566621	566642	lehtonen1910a	2	21
Ja Malakias joutaa löylynlyöjäksi.	695234	695268	lehtonen1910a	3	34
Ja Malakias rupesi juoksemaan linnun perästä.	172949	172994	lehtonen1910a	5	45
Ja Malakias?	511842	511854	lehtonen1910a	1	12
Ja Martti oli heidät pelastanut.	84562	84594	jarnefelt1916a	4	32
Ja Martti, mitä hän teki?	253440	253465	jarnefelt1916a	4	25
Ja Mauno joutuu uudestaan rautoihin.	506697	506733	lehtonen1910a	4	36
Ja Mauno puhuukin hiljemmin.	490869	490897	lehtonen1910a	3	28
Ja Maunon Perttakin röijyä päälleen pujotellen.	743657	743704	lehtonen1910a	5	47
Ja Maunon piti lähteä.	293705	293727	lehtonen1910a	3	22
Ja meillä on niin vaikeata.	161760	161787	canth1886a	4	27
Ja menee ylös kalliolle ja petäjikköön.	125738	125777	lehtonen1910a	5	39
Ja meneepä puolikin tuntia.	203849	203876	lehtonen1910a	3	27
Ja meneepä siitä ylitse.	500888	500912	lehtonen1910a	3	24
Ja mihinkäs se Malakias on mennyt?	76122	76156	lehtonen1910a	5	34
Ja mikäs tämä haju sitten olikaan?	583238	583272	lehtonen1910a	5	34
Ja miksikä ei jo heti?	306293	306315	lehtonen1910a	4	22
Ja miksikä tekisi?	75443	75461	kilpi1903a	2	18
Ja minä huokasin kevennyksestä.	62065	62096	jarnefelt1913a	3	31
Ja minä kun tahtoisin heidän ystävyyttään.	776562	776604	lehtonen1910a	5	42
Ja minä kuulin heidän välisensä keskustelun.	103982	104026	jarnefelt1916a	5	44
Ja minä vain jauhoin ja jauhoin.	42860	42892	jarnefelt1916a	5	32
Ja minkälaista täällä oli viime talvena.	627098	627138	lehtonen1910a	5	40
Ja minun on keitettävä varikkoa.	303225	303257	lehtonen1910a	4	32
Ja missä ovat kaikki muut sanikat?	511926	511960	lehtonen1910a	5	34
Ja missä se Juutas on?	694579	694601	lehtonen1910a	4	22
Ja missäs nyt ihmiset?	385500	385522	lehtonen1910a	3	22
Ja mistä lienee tullut?	415738	415761	lehtonen1910a	3	23
Ja mitä hän tällaiseen?	745549	745572	lehtonen1910a	3	23
Ja mitä he sillä tiedolla tekisivät.	141458	141494	lehtonen1910a	5	36
Ja mitä pahaa siinä oikeastaan oli?	151279	151314	canth1886a	5	35
Ja mitä se oikeastaan minuun koskee?	91746	91782	jarnefelt1913a	5	36
Ja mitä se tavaroiden kantaminen maksaa?	596767	596807	lehtonen1910a	5	40
Ja mitä sinä hänelle aiot?	781447	781473	lehtonen1910a	4	26
Ja mitä?	427148	427156	lehtonen1910a	1	8
Ja mitähän Muttinen selityksellään tarkoittaa?	718983	719029	lehtonen1910a	4	46
Ja mitähän se Aapeli Juutaksesta?	707763	707796	lehtonen1910a	4	33
Ja mitähän se emäntäneiti mekastaa?	344129	344164	lehtonen1910a	4	35
Ja mitäpä neidin lepertelyistä: teeskentelee.	552968	553013	lehtonen1910a	4	45
Ja mitäs se herrassyötinki siihen?	621333	621367	lehtonen1910a	4	34
Ja mitäs: jo parani pöhötys jalasta.	719691	719727	lehtonen1910a	5	36
Ja mitenkä hän olisi täyttänyt?	28824	28855	lehtonen1910a	4	31
Ja mitenkäs hän?	751674	751690	lehtonen1910a	2	16
Ja molemmat alkoivat viskellä kivillä.	67617	67655	pakkala1895a	4	38
Ja morotit, minä sanon, hahaa.	150811	150841	lehtonen1910a	4	30
Ja muidenkin pentujen olevan vielä kotona.	200069	200111	lehtonen1910a	5	42
Ja muut lehmät ajakaa metsään.	425260	425290	lehtonen1910a	4	30
Ja muut pojat.	694564	694578	lehtonen1910a	2	14
Ja muut.	645171	645179	lehtonen1910a	1	8
Ja muuta ei nytkään tarvittu.	130860	130889	jarnefelt1916a	4	29
Ja muuta, heh.	596511	596525	lehtonen1910a	2	14
Ja myös yhtä notkea ja siro.	92191	92219	jarnefelt1916a	5	28
Ja naivansa on hän vannoskellut Sanelman.	793879	793920	lehtonen1910a	5	41
Ja näkeehän mies ajan viisarit auringostakin.	409177	409222	lehtonen1910a	5	45
Ja näkyy tuosta jyvääkin tulevan.	476187	476220	lehtonen1910a	4	33
Ja nälkä uhkaa.	53735	53750	lehtonen1910a	2	15
Ja narrasi sitä miestään, nuorena vaimona.	322272	322314	lehtonen1910a	5	42
Ja nätti se onkin.	290013	290031	lehtonen1910a	3	18
Ja nauraa kirkkain äänin.	68480	68505	lehtonen1910a	3	25
Ja nauroi.	360815	360825	lehtonen1910a	1	10
Ja ne alkamattomat puuskat ovat pitkiä.	47528	47567	lehtonen1910a	5	39
Ja ne ovat kauniita kuin paperikukat.	283144	283181	lehtonen1910a	5	37
Ja ne tekevät sinne omia laitoksiaan.	504268	504305	lehtonen1910a	5	37
Ja neuvomaan niitä töihin, isompia niistä.	200940	200982	lehtonen1910a	5	42
Ja niiden takana kiiluu saarinen ulappa.	611862	611902	lehtonen1910a	5	40
Ja niillä on siellä sianporsas mukana.	201813	201851	lehtonen1910a	5	38
Ja niin erinomaisen lämmin nyt on.	116674	116708	canth1886a	5	34
Ja niin he menivät uudestaan kaupungille.	25902	25943	pakkala1895a	5	41
Ja niin kaunis peitekin.	107322	107346	pakkala1895a	3	24
Ja niin kävi joka talossa.	50801	50827	pakkala1895a	4	26
Ja niin koko maailmaa.	784481	784503	lehtonen1910a	3	22
Ja niin märkänevät mahassakin.	150143	150173	lehtonen1910a	3	30
Ja niin olikin.	35897	35912	jarnefelt1916a	2	15
Ja niin olikin.	145380	145395	jarnefelt1916a	2	15
Ja niin sanoin sille herrallekin, insinöörille.	301500	301547	lehtonen1910a	5	47
Ja niinhän sillä olikin.	309631	309655	lehtonen1910a	3	24
Ja noin ruskea.	542284	542299	lehtonen1910a	2	15
Ja nukkui taas pitkään.	125522	125545	pakkala1895a	3	23
Ja nuo saaret siellä ikäänkuin uivat.	390185	390222	lehtonen1910a	5	37
Ja nyt alkaa Putkinotkossa komento.	422415	422450	lehtonen1910a	4	35
Ja nyt hänen sydämensä hätkähtää.	154276	154309	lehtonen1910a	4	33
Ja nyt he antavat Putkinotkon rappeutua.	779980	780020	lehtonen1910a	5	40
Ja nyt on kiirein heinäaika.	285774	285802	lehtonen1910a	4	28
Ja nyt se tulee Juutaksen perästäkin.	499260	499297	lehtonen1910a	5	37
Ja nyt seurasi pitkä yö.	100026	100050	lassila1910a	4	24
Ja nytkös tuli kiire.	273108	273129	jarnefelt1916a	3	21
Ja oikea silmä katseli humaliston juurelle.	168274	168317	lehtonen1910a	5	43
Ja oikein kauniita marjoja.	86559	86586	pakkala1895a	3	27
Ja oikeutettuakin Jumalan rangaistusta se olisi.	279351	279399	lehtonen1910a	5	48
Ja oksien rapinaa saunan päätyseinään.	663595	663633	lehtonen1910a	4	38
Ja olen neuvonut.	779116	779133	lehtonen1910a	2	17
Ja oli paljon lupaillut.	57008	57032	lehtonen1910a	3	24
Ja oli toivonut, että he vaurastuisivat.	661721	661761	lehtonen1910a	5	40
Ja olipa itse pompommiherrakin.	737852	737883	lehtonen1910a	3	31
Ja olisi annettu miten paljon tahansa.	448063	448101	lehtonen1910a	5	38
Ja on isäkin alkanut vihjailla.	230216	230247	lehtonen1910a	4	31
Ja on muutakin.	195895	195910	lehtonen1910a	2	15
Ja on niitä ollut käärmeitä minussakin.	713120	713159	lehtonen1910a	5	39
Ja onhan kielletty homma jokaisesta makeaa.	662973	663016	lehtonen1910a	5	43
Ja onhan kuoppa täynnä perunoita.	48190	48223	lehtonen1910a	4	33
Ja onhan niitä täällä taloissakin.	770714	770748	lehtonen1910a	4	34
Ja onhan se totta.	466906	466924	lehtonen1910a	3	18
Ja onkia, sormenpituisia ahvenia, hihii.	246964	247004	lehtonen1910a	4	40
Ja onkin asiassa monet mutkat.	482998	483028	lehtonen1910a	4	30
Ja onko Juutas tullut jo myllyltä?	424341	424375	lehtonen1910a	5	34
Ja osanneeko tuo haastella, kala?	691473	691506	lehtonen1910a	4	33
Ja ovessa tullessaan hän pyyhki otsaansa.	139828	139869	canth1886a	5	41
Ja pahemminkin: heidän mielialansa meikäläistä kohtaan.	768164	768219	lehtonen1910a	5	55
Ja paitsi sardiineita on oikein hummereita.	601320	601363	lehtonen1910a	5	43
Ja pakenee aidan luota kiireesti pois.	99667	99705	lehtonen1910a	5	38
Ja paljon toivoivat he saavansa.	91320	91352	pakkala1895a	4	32
Ja panee poliisit viinoistakin ahdistamaan.	302213	302256	lehtonen1910a	4	43
Ja pelästyy.	124928	124940	lehtonen1910a	1	12
Ja pentuja.	506191	506202	lehtonen1910a	1	11
Ja Pertta Kinnusella kanssa?	494346	494374	lehtonen1910a	3	28
Ja pesemään tullaan herraa.	693929	693956	lehtonen1910a	3	27
Ja pieksää kädellään.	507559	507580	lehtonen1910a	2	21
Ja pieni vuona mäkättää valittavasti.	689266	689303	lehtonen1910a	4	37
Ja pienistä on kasvatettu.	458082	458108	lehtonen1910a	3	26
Ja piippuaan rassaten.	73779	73801	lehtonen1910a	2	22
Ja piippukin kädessä vapisee.	101682	101711	lehtonen1910a	3	29
Ja piipun piki on hyvä hampaankolotukseen.	214260	214302	lehtonen1910a	5	42
Ja piirongit tytöille.	390536	390558	lehtonen1910a	2	22
Ja pikku Luukas on kehdossa.	326943	326971	lehtonen1910a	4	28
Ja pilkata.	273537	273548	lehtonen1910a	1	11
Ja pitäisi ostaa uusi hevonen.	65853	65883	lehtonen1910a	4	30
Ja pitäköön kemut Juutas.	787909	787934	lehtonen1910a	3	25
Ja pitelemään Poikaa kujan suussa.	678696	678730	lehtonen1910a	4	34
Ja poikain silmät hän pesi.	36689	36716	canth1886a	4	27
Ja polvet hiukan tutisevat.	376021	376048	lehtonen1910a	3	27
Ja puhalsi kynttilän sammuksiin.	134474	134506	canth1886a	3	32
Ja puhdas tuli.	275946	275961	lehtonen1910a	2	15
Ja puhkesin onneni täyteen kukoistukseen.	40171	40212	jarnefelt1913a	4	41
Ja puhuinkin siitä komesrootille.	345060	345093	lehtonen1910a	3	33
Ja pujahtaa matalasta ovesta aittaan.	104422	104459	lehtonen1910a	4	37
Ja puolella hintaa?	370005	370024	lehtonen1910a	2	19
Ja puutarhani rappiolla.	773108	773132	lehtonen1910a	2	24
Ja raapisivat itseään raivoisasti.	17745	17779	lehtonen1910a	3	34
Ja rahaa lähtikin Käkriäiselle.	94633	94664	lehtonen1910a	3	31
Ja rahtaamaan pataa kodasta.	188145	188173	lehtonen1910a	3	28
Ja rakastaapa hän kuitenkin pohjaltaan lapsiaan.	161323	161371	lehtonen1910a	5	48
Ja rauhallista, hiljaista, kodikasta.	133809	133846	canth1886a	3	37
Ja Repekka alkaa huutaa.	725414	725438	lehtonen1910a	3	24
Ja Repekkakin rupeaa väkisin tempomaan.	434747	434786	lehtonen1910a	4	39
Ja retkuväet.	150360	150373	lehtonen1910a	1	13
Ja Ripatti olisi tahtonut melkeinpä ilmaiseksi.	342993	343040	lehtonen1910a	5	47
Ja romaanilla olisi ollut arvokas alkunsa.	10200	10242	jarnefelt1916a	5	42
Ja röpöteistä sai oikein mukavaa ruokaa.	143002	143042	lehtonen1910a	5	40
Ja Rosina huokaisee.	32928	32948	lehtonen1910a	2	20
Ja rotakolla menee.	234416	234435	lehtonen1910a	2	19
Ja rouhaista oikein sylin täydeltä.	462406	462441	lehtonen1910a	4	35
Ja ruokakonttorinsa ja aittansa ja riihensä.	411985	412029	lehtonen1910a	5	44
Ja ruokalystin se antaa.	666162	666186	lehtonen1910a	3	24
Ja rupea ihan heti, viimeinkin.	308104	308135	lehtonen1910a	4	31
Ja rupesi hiljaa itkemään.	292653	292679	jarnefelt1916a	3	26
Ja rupesi nousemaan ikäänkuin lähteäkseen.	251724	251766	jarnefelt1916a	4	42
Ja rupesi nyyhkyttämään.	741483	741507	lehtonen1910a	2	24
Ja rutto kuolema.	716173	716190	lehtonen1910a	2	17
Ja ruumis jäässä.	676893	676910	lehtonen1910a	2	17
Ja ryntäsi rannemmaksi.	623585	623608	lehtonen1910a	2	23
Ja Saara yökötteleiksen.	182307	182331	lehtonen1910a	2	24
Ja saarnaamaan korpijoonin myymisestäkin.	707135	707176	lehtonen1910a	3	41
Ja sähkösytytyksellä se käy.	530525	530553	lehtonen1910a	3	28
Ja säikähti uudelleen niin, että vavahti.	61212	61253	pakkala1895a	5	41
Ja saisi sen polttimon jonnekin kätköön.	187195	187235	lehtonen1910a	5	40
Ja salasin kaikki.	66826	66844	jarnefelt1913a	2	18
Ja saliin vietiin, toppatuoliin istutettiin.	449863	449907	lehtonen1910a	4	44
Ja samalla alkavat airot soutaa.	790552	790584	lehtonen1910a	4	32
Ja samalla häntä ikään kuin kiukuttaa.	462235	462273	lehtonen1910a	5	38
Ja Sanelma lähtee Lejan kanssa.	427976	428007	lehtonen1910a	4	31
Ja Sanelma sanoo paistavansa ahveniakin.	664477	664517	lehtonen1910a	4	40
Ja sanoin näyttäväni hänelle takapompelini.	301548	301591	lehtonen1910a	4	43
Ja satakertoja.	452218	452233	lehtonen1910a	1	15
Ja se hohde muuttuu yhä keltaisemmaksi.	626565	626604	lehtonen1910a	5	39
Ja se ihmetyttää Käkriäistä.	564537	564565	lehtonen1910a	3	28
Ja se kaipuu kasvatti runkoni.	38417	38447	jarnefelt1913a	4	30
Ja se keitetään.	311041	311057	lehtonen1910a	2	16
Ja se nautitaan sisällisesti.	716266	716295	lehtonen1910a	3	29
Ja se nousi ja nousi.	283511	283532	jarnefelt1916a	4	21
Ja se oli iltahämärä, melkeinpä pimeä.	95400	95438	lehtonen1910a	5	38
Ja se olikin käärme.	714318	714338	lehtonen1910a	3	20
Ja se on jälleen puutteen lisä.	745235	745266	lehtonen1910a	5	31
Ja se on tässä ratkaisevaa.	261071	261098	jarnefelt1916a	4	27
Ja se riittikin vuosiksi.	775292	775317	lehtonen1910a	3	25
Ja se säkki, säkki.	386306	386325	lehtonen1910a	3	19
Ja se suututtaa Juutasta.	483611	483636	lehtonen1910a	3	25
Ja se tapailee jo kiekon muotoa.	577171	577203	lehtonen1910a	5	32
Ja se tuntui niin hauskalle.	39464	39492	pakkala1895a	4	28
Ja se vastauskos ärsyttää Juutasta.	92128	92163	lehtonen1910a	4	35
Ja sekaan collodiumia.	277079	277101	lehtonen1910a	2	22
Ja selitän.	150651	150662	lehtonen1910a	1	11
Ja sen auttamisen ne ihmiset muistavat.	113801	113840	lehtonen1910a	5	39
Ja sen henki löyhkää vähän väkeville.	277864	277901	lehtonen1910a	5	37
Ja sen jälkeen lähtee jono rannalle.	163624	163660	lehtonen1910a	5	36
Ja sen neidinkin perässä.	545609	545634	lehtonen1910a	3	25
